文件名,顺序,Eye study,语言,省份,省份,省份4分 1=high；2=Upper-middle；3=lower-middle; 4= low,省份3分 1=high；2=middle；3=low,省份3分 1=high；2=middle；3=low(修改四川安徽）,随访,随访次,0：不可用；1：可用；2潜力，需整体近视率补充数据；3潜力，需补充整体城乡数据,不可用理由,我们使用为1,年份,时间分组1:1995-2003；2:2004-2007；3:2008-2011；4:2012-2015；5:2016-2019；6:2020-2023,验光方式1非散瞳；2散瞳；3试片,城市/农村 0=农村，1=城市，2=农村及城市，3=不清楚划分,高度近视人数,男性人数,男性近视人数,男性近视率,男性城市人数,男性城市近视人数,男性农村人数,男性农村近视人数,男性高度近视,男性城市高度近视人数,男性农村高度近视人数,女性人数,女性近视人数,女性近视率,女性城市人数,女性城市近视人数,女性农村人数,女性农村近视人数,女性高度近视,女性城市高度近视人数,女性农村高度近视人数,学前人数,学前近视人数,学前总近视率,学前城市人数,学前城市近视人数,学前城市患病率,学前农村人数,学前农村近视人数,学前农村近视率,学前高度近视人数,学前城市高度近视人数,学前农村高度近视人数,1-3年级城市人数,1-3年级城市近视人数,1-3年级城市患病率,1-3年级农村人数,1-3年级农村近视人数,1-3年级农村患病率,4-6年级城市人数,4-6年级城市近视人数,4-6年级城市患病率,4-6年级农村人数,4-6年级农村近视人数,4-6年级农村患病率,7-9年级城市人数,7-9年级城市近视人数,7-9年级城市近视率,7-9年级农村人数,7-9年级农村近视人数,7-9年级农村近视率,10-12年级城市人数,10-12年级城市近视人数,10-12年级城市近视率,10-12年级农村人数,10-12年级农村近视人数,10-12年级农村近视率,同年同省小学生人口数,同年同省初中人口数,同年同省小学初中人口总数,离群,备注
Xiaohan Zhang 2020,082, Nanjing Eye Study,0 ,32 ,江苏,1 ,1 ,1 ,1 ,1 ,0 ,,1 ,2016 ,5 ,2 ,1 ,,775 ,,,,,,,,,,673 ,,,,,,,,,,1448 ,,,1448 ,,,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5222018,1949456,7171474,,没有汇报近视情况，汇报的是在视力下降的眼中近视的占比
Xiaohan Zhang 2020,083, Nanjing Eye Study,0 ,32 ,江苏,1 ,1 ,1 ,1 ,2 ,0 ,随访重复,,2017 ,5 ,2 ,1 ,,775 ,,,,,,,,,,673 ,,,,,,,,,,1448 ,,,1448 ,,,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5402074,2086934,7489008,,没有汇报近视情况，汇报的是在视力下降的眼中近视的占比
Yachen Wang 2022,086,,0 ,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,2 ,616 ,2336 ,,,1286 ,,1050 ,,,,,2186 ,,,1143 ,,1043 ,,,,,\,\,,\,\,,\,\,,\,\,\,652 ,176 ,27.06%,561 ,124 ,22.14%,652 ,470 ,72.10%,561 ,331 ,58.98%,579 ,527 ,90.96%,499 ,371 ,74.41%,1017 ,966 ,95.03%,0 ,0 ,,1954825,985317,2940142,,
Yan Li 2017,087,,0 ,11 ,北京,1 ,1 ,1 ,2 ,1 ,1 ,,1 ,2006 ,2 ,2 ,1 ,145 ,1742 ,928 ,53.27%,1742 ,928 ,0 ,0 ,36 ,36 ,0 ,1915 ,1118 ,58.38%,1915 ,1118 ,0 ,0 ,109 ,109 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3657 ,1882 ,51.47%,0 ,0 ,,\,\,,\,\,,473275,288298,761573,,
Yan Li 2017,088,,0 ,11 ,北京,1 ,1 ,1 ,2 ,2 ,0 ,随访重复,,2007 ,2 ,2 ,1 ,151 ,1720 ,924 ,53.72%,1720 ,924 ,0 ,0 ,36 ,36 ,0 ,1895 ,1158 ,61.11%,1895 ,1158 ,0 ,0 ,115 ,115 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3615 ,1879 ,51.97%,0 ,0 ,,\,\,,\,\,,666617,332959,999576,,
Yan Li 2017,089,,0 ,11 ,北京,1 ,1 ,1 ,2 ,3 ,1 ,,1 ,2008 ,3 ,2 ,1 ,174 ,1728 ,956 ,55.32%,1728 ,956 ,0 ,0 ,53 ,53 ,0 ,1934 ,1185 ,61.27%,1934 ,1185 ,0 ,0 ,121 ,121 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3662 ,1970 ,53.79%,0 ,0 ,,\,\,,\,\,,659500,325117,984617,,
Yan Li 2017,090,,0 ,11 ,北京,1 ,1 ,1 ,2 ,4 ,0 ,随访重复,,2009 ,3 ,2 ,1 ,184 ,1833 ,1065 ,58.10%,1833 ,1065 ,0 ,0 ,70 ,70 ,0 ,1864 ,1173 ,62.93%,1864 ,1173 ,0 ,0 ,114 ,114 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3697 ,2059 ,55.69%,0 ,0 ,,\,\,,\,\,,647101,318874,965975,,
Yan Li 2017,091,,0 ,11 ,北京,1 ,1 ,1 ,2 ,5 ,1 ,,1 ,2010 ,3 ,2 ,1 ,215 ,1853 ,1064 ,57.42%,1853 ,1064 ,0 ,0 ,86 ,86 ,0 ,2044 ,1305 ,63.85%,2044 ,1305 ,0 ,0 ,129 ,129 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3897 ,2179 ,55.93%,0 ,0 ,,\,\,,\,\,,653255,309912,963167,,
Yan Li 2017,092,,0 ,11 ,北京,1 ,1 ,1 ,2 ,6 ,0 ,随访重复,,2011 ,3 ,2 ,1 ,223 ,1926 ,1140 ,59.19%,1926 ,1140 ,0 ,0 ,89 ,89 ,0 ,1858 ,1173 ,63.13%,1858 ,1173 ,0 ,0 ,134 ,134 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3784 ,2128 ,56.24%,0 ,0 ,,\,\,,\,\,,680457,302269,982726,,
Yan Li 2017,093,,0 ,11 ,北京,1 ,1 ,1 ,2 ,7 ,1 ,,1 ,2012 ,4 ,2 ,1 ,226 ,1752 ,988 ,56.39%,1752 ,988 ,0 ,0 ,98 ,98 ,0 ,2064 ,1372 ,66.47%,2064 ,1372 ,0 ,0 ,128 ,128 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3816 ,2266 ,59.37%,0 ,0 ,,\,\,,\,\,,718655,305510,1024165,,
Yan Li 2017,094,,0 ,11 ,北京,1 ,1 ,1 ,2 ,8 ,0 ,随访重复,,2013 ,4 ,2 ,1 ,228 ,1816 ,1079 ,59.42%,1816 ,1079 ,0 ,0 ,84 ,84 ,0 ,1971 ,1298 ,65.85%,1971 ,1298 ,0 ,0 ,144 ,144 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3787 ,2282 ,60.26%,0 ,0 ,,\,\,,\,\,,789276,310568,1099844,,
Yan Li 2017,095,,0 ,11 ,北京,1 ,1 ,1 ,2 ,9 ,1 ,,1 ,2014 ,4 ,2 ,1 ,246 ,1783 ,1039 ,58.27%,1783 ,1039 ,0 ,0 ,77 ,77 ,0 ,2050 ,1408 ,68.68%,2050 ,1408 ,0 ,0 ,169 ,169 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3833 ,2349 ,61.29%,0 ,0 ,,\,\,,\,\,,821152,306789,1127941,,
Yan Li 2017,096,,0 ,11 ,北京,1 ,1 ,1 ,2 ,10 ,0 ,随访重复,,2015 ,4 ,2 ,1 ,246 ,1772 ,1089 ,61.46%,1772 ,1089 ,0 ,0 ,95 ,95 ,0 ,1904 ,1318 ,69.22%,1904 ,1318 ,0 ,0 ,151 ,151 ,0 ,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,\,\,,\,\,,3676 ,2311 ,62.86%,0 ,0 ,,\,\,,\,\,,850321,283366,1133687,,
Yan Li 2022,097,Beijing Pinggu Childhood Eye Study,0 ,11 ,北京,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2021 ,6 ,2 ,1 ,,2477 ,,,,,,,,,,2329 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,2538 ,936 ,36.88%,0 ,0 ,,2268 ,1615 ,71.21%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,1036584,349611,1386195,,计划随访至2023
Yin Guo 2013,100,The Beijing Pediatric Eye Study,0 ,11 ,北京,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,,374 ,,,,,,,,,,307 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,382 ,82 ,21.40%,0 ,0 ,,299 ,148 ,49.35%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,680457,302269,982726,,
Yin Guo 2013-2,101,The Beijing Pediatric Eye Study,0 ,11 ,北京,1 ,1 ,1 ,1 ,2 ,2 ,,1 ,2012 ,4 ,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,718655,305510,1024165,,主要汇报的是屈光度的增加，没有汇报具体人数
Yin Guo 2017,102,Greater Beijing School Children Myopia study,0 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,1 ,1 ,3076 ,18211 ,,,,,,,1475 ,,,17407 ,,,,,,,1601 ,,,\,\,,\,\,,\,\,,\,\,\,6175 ,2053 ,33.25%,0 ,0 ,,6757 ,4260 ,63.04%,0 ,0 ,,11254 ,9390 ,83.44%,0 ,0 ,,12483 ,10906 ,87.37%,0 ,0 ,,868417,268273,1136690,,男女人数加起来不等于总人数（35618），不同年龄的人数（36669）也有相同问题；9-12年级计算时计算了15-18岁之间；定义rural 和urban都是在北京所以都算成了urbanarea
Yingyan Ma 2018-2,103,,0 ,31 ,上海,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2010 ,3 ,2 ,1 ,,973 ,,,,,,,,,,883 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,1856 ,289 ,15.57%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,701578,425463,1127041,,
Yingyan Ma 2018-2,104,,0 ,31 ,上海,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2012 ,4 ,2 ,1 ,,844 ,,,,,,,,,,795 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,566 ,153 ,26.96%,0 ,0 ,,1073 ,572 ,53.31%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,760377,432686,1193063,,
Zhihui Yang 2022,106,,0 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,1 ,,435 ,,,,,,,,,,429 ,,,,,,,,,,864 ,13 ,1.50%,864 ,13 ,1.50%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5604407,2257619,7862026,,
崔建峰2016,113,,1 ,12 ,天津,1 ,1 ,1 ,0 ,1 ,0 ,试片,1 ,2014 ,4 ,3 ,2 ,,4812 ,3265 ,67.85%,2459 ,1761 ,2353 ,1504 ,,,,4794 ,3534 ,73.72%,2403 ,1816 ,2391 ,1718 ,,,,\,\,,\,\,,\,\,,\,\,\,979 ,374 ,38.20%,898 ,249 ,27.73%,989 ,685 ,69.26%,932 ,524 ,56.22%,962 ,818 ,85.03%,942 ,768 ,81.53%,994 ,876 ,88.13%,1017 ,878 ,86.33%,573187,267214,840401,,汇报为疑似近视：应用串镜判断有无屈光不正；只要有一只眼近视，则判定该学生为疑似近视
崔庭凯2021,114,,1 ,12 ,天津,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,2 ,1 ,,302 ,,,,,,,,,,264 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,205 ,88 ,42.93%,0 ,0 ,,189 ,117 ,61.90%,0 ,0 ,,172 ,147 ,85.47%,0 ,0 ,,\,\,,\,\,,631195,256383,887578,,
郭振 2020,119,,1 ,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,3 ,,1069 ,210 ,19.69%,0 ,0 ,1069 ,210 ,,,,935 ,216 ,23.05%,0 ,0 ,935 ,216 ,,,,\,\,,\,\,,\,\,,\,\,\,0 ,0 ,,1074 ,113 ,10.51%,0 ,0 ,,930 ,313 ,33.67%,\,\,,\,\,,\,\,,\,\,,1950513,1014597,2965110,,检索了同一作和通讯的文章，没找到分开描述数据的文章
郭振 2020,120,,1 ,37 ,山东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,3 ,,1172 ,279 ,23.82%,0 ,0 ,1172 ,279 ,,,,1025 ,286 ,27.88%,0 ,0 ,1025 ,286 ,,,,\,\,,\,\,,\,\,,\,\,\,0 ,0 ,,1177 ,150 ,12.71%,0 ,0 ,,1020 ,415 ,40.73%,\,\,,\,\,,\,\,,\,\,,7385622,3609195,10994817,,检索了同一作和通讯的文章，没找到分开描述数据的文章
郭振 2020,121,,1 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,3 ,,741 ,140 ,18.87%,0 ,0 ,741 ,140 ,,,,648 ,143 ,22.09%,0 ,0 ,648 ,143 ,,,,\,\,,\,\,,\,\,,\,\,\,0 ,0 ,,744 ,75 ,10.07%,0 ,0 ,,645 ,208 ,32.27%,\,\,,\,\,,\,\,,\,\,,10334303,3890283,14224586,,检索了同一作和通讯的文章，没找到分开描述数据的文章
何作力 2021,125,,1 ,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,1 ,,2331 ,1533 ,65.77%,2331 ,1533 ,0 ,0 ,,,,2174 ,1592 ,73.23%,2174 ,1592 ,0 ,0 ,,,,170 ,31 ,18.24%,170 ,31 ,18.24%,0 ,0 ,,,,,1219 ,277 ,22.71%,0 ,0 ,,1219 ,838 ,68.78%,0 ,0 ,,1053 ,915 ,86.89%,0 ,0 ,,1014 ,942 ,92.90%,0 ,0 ,,1954825,985317,2940142,,7-12岁近视患病率：1237/2168
李翊 2018,133,,1 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,2 ,1 ,,537 ,,,,,,,,,,494 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,777 ,406 ,52.25%,0 ,0 ,,254 ,169 ,66.54%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,789721,413298,1203019,,上海市宝山区顾村镇
孙丽丽 2016,141,,1 ,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2014 ,4 ,2 ,1 ,,582 ,,,,,,,,,,588 ,,,,,,,,,,1170 ,21 ,1.79%,1170 ,21 ,1.79%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1984633,1055661,3040294,,诊断标准文中叙述矛盾
王文澜 2018,146,,1 ,21 ,辽宁,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2016 ,5 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,2634 ,28 ,1.06%,2634 ,28 ,1.06%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,1988681,978298,2966979,,　
殷良 2017,165,,1 ,31 ,上海,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2014 ,4 ,1 ,1 ,71 ,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,1724 ,326 ,18.91%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,802960,426789,1229749,,
殷良 2017,166,,1 ,31 ,上海,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2016 ,5 ,1 ,1 ,180 ,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,602 ,123 ,20.51%,0 ,0 ,,1117 ,574 ,51.34%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,789721,413298,1203019,,高度近数量文中写的是18，怀疑是笔误
赵治 2020,173,,1 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2017 ,5 ,2 ,1 ,,512 ,,,,,,,,,,579 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,622 ,108 ,17.37%,0 ,0 ,,469 ,205 ,43.67%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,5402074,2086934,7489008,,计算：1～3年级=6～8岁，4～6年级=9～12岁；有眼球生物学参数但直接涉及近视的结果较少
朱田柱2021,174,,1 ,31 ,上海,1 ,1 ,1 ,1 ,1 ,1 ,,1 ,2017 ,5 ,1 ,1 ,,689 ,,,,,,,,,,657 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,929 ,230 ,24.78%,0 ,0 ,,417 ,132 ,31.55%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,784896,411712,1196608,,有眼球生物学参数但直接涉及近视的结果较少
朱田柱2021,175,,1 ,31 ,上海,1 ,1 ,1 ,1 ,2 ,1 ,,1 ,2020 ,6 ,1 ,1 ,,689 ,,,,,,,,,,657 ,,,,,,,,,,\,\,,\,\,,\,\,,\,\,\,\,\,,\,\,,929 ,482 ,51.91%,0 ,0 ,,417 ,299 ,71.67%,0 ,0 ,,\,\,,\,\,,860960,468062,1329022,,有眼球生物学参数但直接涉及近视的结果较少
Xiaojuan Wang 2014,176,,0 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2011 ,3 ,2 ,1 ,,1119 ,,,,,,,,,,901 ,,,,,,,,,,2020 ,17 ,0.84%,2020 ,17 ,0.84%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,4095995,2111249,6207244,,没有说明散瞳后进行的哪种验光；近视定义method里说的是0.5，结果里给的是1.0；原文中涉及2-3岁数据，录入时删除了
Tao Li 2019,177,Jinshan District Eye Study,0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2013 ,4 ,1 ,1 ,,3813 ,229 ,6.01%,3813 ,229 ,0 ,0 ,,,,3353 ,194 ,5.79%,3353 ,194 ,0 ,0 ,,,,7166 ,423 ,5.90%,7166 ,423 ,5.90%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,792476,436696,1229172,,属于一个三年大型公共卫生项目的一部分；文中将该地区定义为rural，但因为是上海，暂算作urban
Luoli Zhang 2018,178,Elaborative Shanghai Childhood Ocular Refractive Development Study,0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2014 ,4 ,2 ,1 ,,1507 ,65 ,4.31%,1507 ,65 ,0 ,0 ,,,,1344 ,40 ,2.98%,1344 ,40 ,0 ,0 ,,,,2851 ,105 ,3.68%,2851 ,105 ,3.68%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,802960,426789,1229749,,我不是很确定这一篇和Tao Li2019是不是属于同一个公共卫生项目（但人群确实不属于一个区）；散瞳后只进行了电脑验光
Xinxing Guo 2017,179,The Shenzhen Kindergarten Eye Study,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2012 ,4 ,2 ,1 ,0 ,611 ,13 ,2.13%,611 ,13 ,0 ,0 ,0 ,0 ,0 ,516 ,2 ,0.39%,516 ,2 ,0 ,0 ,0 ,0 ,0 ,1127 ,15 ,1.33%,1127 ,15 ,1.33%,0 ,0 ,,0 ,0 ,0 ,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,8082401,4424650,12507051,,散瞳后只进行了电脑验光
Hui Zhu 2015,180,,0 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,,3118 ,,,,,,,,,,2713 ,,,,,,,,,,5831 ,46 ,0.79%,5831 ,46 ,0.79%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,4095995,2111249,6207244,,
Yingyan Ma 2016,181,,0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2013 ,4 ,2 ,1 ,17 ,3024 ,607 ,20.07%,3024 ,607 ,0 ,0 ,10 ,10 ,0 ,2508 ,507 ,20.22%,2508 ,507 ,0 ,0 ,7 ,7 ,0 ,2484 ,89 ,3.58%,2484 ,89 ,3.58%,0 ,0 ,,1 ,1 ,0 ,2356 ,664 ,28.18%,0 ,0 ,,692 ,469 ,67.82%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,792476,436696,1229172,,散瞳后同时进行了自动验光和主观验光
Weizhong Lan 2013,182,,0 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,2 ,1 ,2 ,1309 ,12 ,0.92%,1309 ,12 ,0 ,0 ,1 ,1 ,0 ,1169 ,12 ,1.03%,1169 ,12 ,0 ,0 ,1 ,1 ,0 ,2478 ,24 ,0.97%,2478 ,24 ,0.97%,0 ,0 ,,2 ,2 ,0 ,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,8876522,5036732,13913254,,散瞳后电脑验光；已经询问过PI，无法确定城乡分布，但因为地点是广州，所以统一算作urban
Dan Huang 2018,186,Yuhuatai Pediatric Eye Disease Study,0 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2015 ,4 ,1 ,1 ,,900 ,,,,,,,,,,795 ,,,,,,,,,,1695 ,195 ,11.50%,1695 ,195 ,11.50%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,4996365,1867166,6863531,,
Yingyan Ma 2021,194,,0 ,31 ,上海,1 ,1 ,1 ,1 ,1 ,0 ,,1 ,2014 ,4 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,802960,426789,1229749,,散瞳后电脑验光+主观验光；研究的不是近视人数，因此没有汇报，但是整体质量比较好
Yingyan Ma 2021,195,,0 ,31 ,上海,1 ,1 ,1 ,1 ,2 ,0 ,随访重复,,2015 ,4 ,2 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,798686,412345,1211031,,散瞳后电脑验光+主观验光；研究的不是近视人数，因此没有汇报，但是整体质量比较好
Xiangui He 2019,196,,0 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,0 ,,1 ,2017 ,5 ,2 ,1 ,,274 ,,,,,,,,,,276 ,,,,,,,,,,,,,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,784896,411712,1196608,,电脑验光+散瞳后主观验光；研究的不是近视人数，因此没有汇报，但是整体质量比较好
Deyi Zhuo 2021,199,,0 ,11 ,北京,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2017 ,5 ,2 ,1 ,,1652 ,,,,,,,,,,1518 ,,,,,,,,,,3170 ,39 ,1.23%,3170 ,39 ,1.23%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,875849,266404,1142253,,散瞳后电脑验光
关洁莹 2022,200,,1 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,1 ,1 ,15 ,2796 ,331 ,11.84%,2796 ,331 ,0 ,0 ,,,,2788 ,410 ,14.71%,2788 ,410 ,0 ,0 ,,,,\,\,,\,\,,\,\,,\,\,\,4147 ,333 ,8.04%,0 ,0 ,,1331 ,408 ,30.63%,0 ,0 ,,\,\,,\,\,,\,\,,\,\,,9883724,3724667,13608391,,
吴纲跃 2017,203,,1 ,33 ,浙江,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2014 ,4 ,1 ,1 ,256 ,7197 ,2159 ,30.00%,7197 ,2159 ,0 ,0 ,129 ,129 ,0 ,6372 ,2128 ,33.40%,6372 ,2128 ,0 ,0 ,127 ,127 ,0 ,572 ,8 ,1.40%,572 ,8 ,1.40%,0 ,0 ,,0 ,0 ,0 ,6022 ,836 ,13.88%,0 ,0 ,,5933 ,2687 ,45.29%,0 ,0 ,,1042 ,754 ,72.36%,0 ,0 ,,\,\,,\,\,,3545013,1499062,5044075,,
冯彦清 2013,205,,1 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2011 ,3 ,1 ,1 ,,7837 ,1084 ,13.83%,7837 ,1084 ,0 ,0 ,,,,6944 ,1066 ,15.35%,6944 ,1066 ,0 ,0 ,,,,14782 ,2150 ,14.54%,14782 ,2150 ,14.54%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,731131,430585,1161716,,散瞳后检影验光+主观验光；研究的是弱视，没有汇报近视的患病率
孙琪 2014,206,,1 ,33 ,浙江,1 ,1 ,1 ,0 ,1 ,3 ,,1 ,2013 ,4 ,1 ,2 ,,5542 ,,,,,,,,,,4596 ,,,,,,,,,,10138 ,86 ,0.85%,,,,,,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,3495846,1482649,4978495,,
赵峰 2010,208,,1 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2009 ,3 ,2 ,1 ,2 ,1310 ,9 ,0.69%,1310 ,9 ,0 ,0 ,1 ,1 ,0 ,1170 ,5 ,0.43%,1170 ,5 ,0 ,0 ,1 ,1 ,0 ,2480 ,14 ,0.56%,2480 ,14 ,0.56%,0 ,0 ,,2 ,2 ,0 ,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,8876522,5036732,13913254,,散瞳后电脑验光和检影验光+主观验光
陈琳 2019,209,,1 ,32 ,江苏,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2018 ,5 ,2 ,1 ,,843 ,37 ,4.39%,843 ,37 ,0 ,0 ,,,,821 ,38 ,4.63%,821 ,38 ,0 ,0 ,,,,1664 ,75 ,4.51%,1664 ,75 ,4.51%,0 ,0 ,,,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,5604407,2257619,7862026,,散瞳眼光后电脑验光和检影验光
孙祖贤 2020,210,,1 ,31 ,上海,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2019 ,5 ,1 ,1 ,1 ,753 ,109 ,14.48%,753 ,109 ,0 ,0 ,0 ,0 ,0 ,662 ,105 ,15.86%,662 ,105 ,0 ,0 ,1 ,1 ,0 ,1415 ,214 ,15.12%,1415 ,214 ,15.12%,0 ,0 ,,1 ,1 ,0 ,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,826347,450954,1277301,,
黄学林 2007,211,,1 ,44 ,广东,1 ,1 ,1 ,0 ,1 ,1 ,,1 ,2006 ,2 ,2 ,2 ,22 ,,,,,,,,,,,,,,,,,,,,,11140 ,197 ,1.77%,5931 ,108 ,1.82%,5209 ,89 ,1.71%,22 ,,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,\,\,,10569906,4758296,15328202,,散瞳后检影验光
